#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Feb 28 16:11:46 EST 2019,42,42,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ GetMinTest1+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1- EverythingTest- GetMinTest2- GetMinTest3- SizeTest1- SizeTest2- SizeTest4- , ,
10,Thu Feb 28 17:09:33 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
11,Thu Feb 28 17:14:14 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
12,Thu Feb 28 22:16:58 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
13,Thu Feb 28 22:17:48 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
14,Thu Feb 28 22:22:21 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
15,Thu Feb 28 22:29:10 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
16,Thu Feb 28 22:34:21 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
17,Fri Mar 01 02:01:18 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
17,Fri Mar 01 02:01:18 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
18,Fri Mar 01 02:19:45 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
19,Fri Mar 01 15:44:56 EST 2019,63,-21,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 DelMinTest2- DelMinTest4- EfficiencyTest1 EverythingTest GetMinTest1- GetMinTest3- , ,
20,Fri Mar 01 15:45:14 EST 2019,68,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2+ DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 , ,
21,Fri Mar 01 15:45:43 EST 2019,73,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 , ,
22,Fri Mar 01 15:46:16 EST 2019,84,11,Assignment3Suite,BuildTest1+ BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4+ GetMinTest1+ GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1- EfficiencyTest1 EverythingTest , ,
23,Fri Mar 01 16:01:45 EST 2019,78,-6,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- DelMinTest1 EfficiencyTest1 EverythingTest , ,
24,Fri Mar 01 16:02:42 EST 2019,84,6,Assignment3Suite,BuildTest1+ BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
25,Fri Mar 01 16:04:18 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
26,Fri Mar 01 16:05:06 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
27,Sun Mar 03 15:15:02 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
28,Sun Mar 03 15:57:08 EST 2019,94,10,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
